"","entrezgene","uniprot_gn","ensembl_gene_id","external_gene_name","description"
"1",793902,"","ENSDARG00000097503","si:ch73-288o11.5","si:ch73-288o11.5 [Source:ZFIN;Acc:ZDB-GENE-131121-416]"
"2",NA,"","ENSDARG00000104512","BX936284.2",""
"3",NA,"","ENSDARG00000089622","fgd5b","FYVE, RhoGEF and PH domain containing 5b [Source:ZFIN;Acc:ZDB-GENE-130925-3]"
"4",108179599,"","ENSDARG00000093926","CR855277.3",""
"5",562682,"","ENSDARG00000093957","si:dkey-251i10.2","si:dkey-251i10.2 [Source:ZFIN;Acc:ZDB-GENE-050506-102]"
"6",794764,"","ENSDARG00000096908","si:ch73-185c24.2","si:ch73-185c24.2 [Source:ZFIN;Acc:ZDB-GENE-131121-189]"
"7",100002627,"","ENSDARG00000042370","ptafr","platelet-activating factor receptor [Source:ZFIN;Acc:ZDB-GENE-131127-236]"
"8",569583,"","ENSDARG00000097746","si:rp71-77l1.1","si:rp71-77l1.1 [Source:ZFIN;Acc:ZDB-GENE-131121-141]"
"9",100002956,"","ENSDARG00000078991","si:ch211-195e19.1","si:ch211-195e19.1 [Source:ZFIN;Acc:ZDB-GENE-141216-110]"
"10",NA,"","ENSDARG00000101567","guca1e","guanylate cyclase activator 1e [Source:ZFIN;Acc:ZDB-GENE-040426-1577]"
"11",100034566,"","ENSDARG00000093686","si:rp71-36a1.2","si:rp71-36a1.2 [Source:ZFIN;Acc:ZDB-GENE-050208-646]"
"12",555997,"B3DJJ8","ENSDARG00000063341","si:ch211-284b7.3","si:ch211-284b7.3 [Source:ZFIN;Acc:ZDB-GENE-061207-34]"
"13",100332814,"","ENSDARG00000102845","dclk2b","doublecortin-like kinase 2b [Source:ZFIN;Acc:ZDB-GENE-110411-1]"
"14",101882796,"","ENSDARG00000090836","si:ch211-191d2.2","si:ch211-191d2.2 [Source:ZFIN;Acc:ZDB-GENE-110407-3]"
"15",321464,"Q802D2","ENSDARG00000036510","ccnt2b","cyclin T2b [Source:ZFIN;Acc:ZDB-GENE-030131-183]"
"16",NA,"A1XQX7","ENSDARG00000063150","nrxn2b","neurexin 2b [Source:ZFIN;Acc:ZDB-GENE-070206-7]"
"17",336492,"Q8QGV5","ENSDARG00000027088","ptgdsb.1","prostaglandin D2 synthase b, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030131-8436]"
"18",334351,"Q6TLH3","ENSDARG00000039365","cuedc2","CUE domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-030131-6283]"
"19",492489,"Q5U3E4","ENSDARG00000100083","sugt1","SGT1 homolog, MIS12 kinetochore complex assembly cochaperone [Source:ZFIN;Acc:ZDB-GENE-041114-56]"
"20",NA,"","ENSDARG00000092020","CR855277.1",""
"21",NA,"","ENSDARG00000087979","CT573433.1",""
"22",393344,"","ENSDARG00000058593","sri","sorcin [Source:ZFIN;Acc:ZDB-GENE-040426-1356]"
"23",NA,"","ENSDARG00000101917","pmfbp1","polyamine modulated factor 1 binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-131127-619]"
"24",NA,"","ENSDARG00000095756","si:ch211-190k17.19","si:ch211-190k17.19 [Source:ZFIN;Acc:ZDB-GENE-070912-167]"
"25",565975,"","ENSDARG00000012016","hpgd","15-hydroxyprostaglandin dehydrogenase [Source:ZFIN;Acc:ZDB-GENE-080728-2]"
"26",393319,"Q7T3D4","ENSDARG00000020201","cdc73","cell division cycle 73, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040426-1309]"
"27",393553,"Q6NWA1","ENSDARG00000012892","ammecr1","Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1 homolog (human) [Source:ZFIN;Acc:ZDB-GENE-040426-1533]"
"28",NA,"","ENSDARG00000068100","fam19a5l","family with sequence similarity 19 (chemokine (C-C motif)-like), member A5-like [Source:ZFIN;Acc:ZDB-GENE-050419-194]"
"29",NA,"","ENSDARG00000101700","si:ch1073-181h11.1","si:ch1073-181h11.1 [Source:ZFIN;Acc:ZDB-GENE-081104-73]"
"30",NA,"","ENSDARG00000089794","si:dkeyp-101e12.1","si:dkeyp-101e12.1 [Source:ZFIN;Acc:ZDB-GENE-091113-32]"
"31",553177,"Q4ZHG3","ENSDARG00000057536","crygm2a","crystallin, gamma M2a [Source:ZFIN;Acc:ZDB-GENE-050516-9]"
"32",561279,"","ENSDARG00000088699","pdzd8","PDZ domain containing 8 [Source:ZFIN;Acc:ZDB-GENE-110310-2]"
"33",NA,"","ENSDARG00000086623","vav3a","vav 3 guanine nucleotide exchange factor a [Source:ZFIN;Acc:ZDB-GENE-091204-266]"
"34",561682,"","ENSDARG00000054162","nfatc4","nuclear factor of activated T cells 4 [Source:ZFIN;Acc:ZDB-GENE-070912-659]"
"35",NA,"","ENSDARG00000093469","znf653","zinc finger protein 653 [Source:ZFIN;Acc:ZDB-GENE-071116-3]"
"36",393802,"","ENSDARG00000008788","camk1gb","calcium/calmodulin-dependent protein kinase IGb [Source:ZFIN;Acc:ZDB-GENE-040426-1694]"
"37",560202,"A8WH88","ENSDARG00000007671","ghrb","growth hormone receptor b [Source:ZFIN;Acc:ZDB-GENE-071119-4]"
"38",NA,"","ENSDARG00000105628","BX927082.2",""
"39",NA,"","ENSDARG00000079187","tbx19","T-box 19 [Source:ZFIN;Acc:ZDB-GENE-110411-5]"
"40",NA,"","ENSDARG00000093671","BX001030.1",""
"41",100500933,"","ENSDARG00000013174","nkd3","naked cuticle homolog 3 [Source:ZFIN;Acc:ZDB-GENE-060503-63]"
"42",334121,"","ENSDARG00000014806","hacd2","3-hydroxyacyl-CoA dehydratase 2 [Source:ZFIN;Acc:ZDB-GENE-030131-6053]"
"43",NA,"","ENSDARG00000105510","CU466278.2",""
"44",100536168,"","ENSDARG00000097931","BX323557.1",""
"45",NA,"","ENSDARG00000078271","si:ch211-57m13.8","si:ch211-57m13.8 [Source:ZFIN;Acc:ZDB-GENE-110411-238]"
"46",NA,"","ENSDARG00000030945","si:ch211-259g3.4","si:ch211-259g3.4 [Source:ZFIN;Acc:ZDB-GENE-030131-8118]"
"47",323653,"Q90ZZ8","ENSDARG00000028259","aldh3a2a","aldehyde dehydrogenase 3 family, member A2a [Source:ZFIN;Acc:ZDB-GENE-040718-74]"
"48",NA,"","ENSDARG00000013203","si:ch211-1f22.1","si:ch211-1f22.1 [Source:ZFIN;Acc:ZDB-GENE-121214-79]"
"49",322953,"","ENSDARG00000011196","dnajc11a","DnaJ (Hsp40) homolog, subfamily C, member 11a [Source:ZFIN;Acc:ZDB-GENE-030131-1673]"
"50",NA,"","ENSDARG00000097033","CU466278.1",""
"51",563993,"","ENSDARG00000011743","pigo","phosphatidylinositol glycan anchor biosynthesis, class O [Source:ZFIN;Acc:ZDB-GENE-091204-80]"
"52",445040,"Q6DGL4","ENSDARG00000077717","rpl29","ribosomal protein L29 [Source:ZFIN;Acc:ZDB-GENE-040801-167]"
"53",563117,"","ENSDARG00000043673","si:dkey-174m14.3","si:dkey-174m14.3 [Source:ZFIN;Acc:ZDB-GENE-030131-8158]"
"54",327007,"Q7ZUC1","ENSDARG00000024116","vamp8","vesicle-associated membrane protein 8 (endobrevin) [Source:ZFIN;Acc:ZDB-GENE-030131-5215]"
"55",NA,"","ENSDARG00000058597","nt5c3a","5'-nucleotidase, cytosolic IIIA [Source:ZFIN;Acc:ZDB-GENE-030131-439]"
